Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
NAC,Nuveen California Quality Municipal Income Fund,$15.16,2194183494,226653,,
NAD,Nuveen Quality Municipal Income Fund Common Stock,$15.37,3253045791,418621,,
NAN,Nuveen New York Quality Municipal Income Fund Common Stock,$14.15,436546348,39767,,
NARI,Inari Medical Inc. Common Stock,$87.29,4251967565,262082,Health Care,Medical/Dental Instruments
NATH,Nathan's Famous Inc. Common Stock,$55.22,227226655,9341,Consumer Services,Restaurants
NATI,National Instruments Corporation Common Stock,$43.94,5766933422,487352,Technology,Computer Software: Prepackaged Software
NATR,Nature's Sunshine Products Inc. Common Stock,$14.95,293887892,27896,Health Care,Major Pharmaceuticals
NAV,Navistar International Corporation Common Stock,$43.96,4378269569,531104,Capital Goods,Auto Manufacturing
NAVI,Navient Corporation Common Stock,$9.82,1829270376,1812976,Finance,Investment Bankers/Brokers/Service
NAZ,Nuveen Arizona Quality Municipal Income Fund Common Stock,$15.87,183634277,12288,,
NBA,New Beginnings Acquisition Corp. Common Stock,$10.03,149647600,63901,Finance,Business Services
NBAC,Newborn Acquisition Corp. Ordinary Shares,$17.22,128461200,644278,Finance,Business Services
NBB,Nuveen Taxable Municipal Income Fund Common Shares of Beneficial Interest,$23.75,650229376,71424,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.20,285979503,50129,,
NBHC,National Bank Holdings Corporation Common Stock,$32.76,1002602142,61522,Finance,Major Banks
NBIX,Neurocrine Biosciences Inc. Common Stock,$95.85,8955184315,402897,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NBLX,Noble Midstream Partners LP Common Units Representing Limited Partner Interests,$10.42,941446375,532356,Energy,Natural Gas Distribution
NBN,Northeast Bank Common Stock,$22.52,184479021,16321,Finance,Major Banks
NBR,Nabors Industries Ltd.,$58.23,424730493,238444,Energy,Oil & Gas Production
NBSE,NeuBase Therapeutics Inc.  Common Stock,$6.99,162011361,156150,Health Care,Major Pharmaceuticals
NBTB,NBT Bancorp Inc. Common Stock,$32.10,1400371681,113997,Finance,Major Banks
NBTX,Nanobiotix S.A. American Depositary Shares,$16.50,568039016,15535,Health Care,Major Pharmaceuticals
NC,NACCO Industries Inc. Common Stock,$26.30,185298623,16337,Consumer Durables,Consumer Electronics/Appliances
NCA,Nuveen California Municipal Value Fund Inc. Common Stock,$10.80,303382789,46561,,
NCBS,Nicolet Bankshares Inc. Common Stock,$66.35,669177503,16588,Finance,Major Banks
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,$25.43,8026624294,14616948,Consumer Services,Marine Transportation
NCMI,National CineMedia Inc. Common Stock,$3.72,296039929,471368,Consumer Services,Advertising
NCNA,NuCana plc American Depositary Share,$4.49,229771260,103726,Health Care,Major Pharmaceuticals
NCNO,nCino Inc. Common Stock,$72.41,6683049307,754292,Technology,Computer Software: Prepackaged Software
NCR,NCR Corporation Common Stock,$37.57,4842773000,631102,Miscellaneous,Office Equipment/Supplies/Services
NCV,AllianzGI Convertible & Income Fund,$5.74,518744286,772011,,
NCZ,AllianzGI Convertible & Income Fund II Common Shares of Beneficial Interest,$5.09,387429162,1384810,,
NDAQ,Nasdaq Inc. Common Stock,$132.74,21774350626,511377,Finance,Investment Bankers/Brokers/Service
NDLS,Noodles & Company Class A Common Stock,$7.90,350538682,133638,Consumer Services,Restaurants
NDSN,Nordson Corporation Common Stock,$200.95,11674087163,190517,Capital Goods,Industrial Machinery/Components
NEA,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,$15.10,4206713032,598314,,
NEE,NextEra Energy Inc. Common Stock,$77.15,1.51E+11,4119379,Public Utilities,Electric Utilities: Central
NEM,Newmont Corporation,$59.89,48113113794,3700427,Basic Industries,Precious Metals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$50.16,183207908,216,Consumer Services,Building operators
NEO,NeoGenomics Inc. Common Stock,$53.84,5977836033,601877,Health Care,Precision Instruments
NEOG,Neogen Corporation Common Stock,$79.30,4222249200,208616,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NEP,NextEra Energy Partners LP Common Units representing limited partner interests,$67.05,4894735288,400681,Public Utilities,Electric Utilities: Central
NESR,National Energy Services Reunited Corp. Ordinary Shares,$9.93,871631101,117009,Energy,Oilfield Services/Equipment
NET,Cloudflare Inc. Class A Common Stock,$75.99,23351801926,3444312,Technology,Computer Software: Prepackaged Software
NEU,NewMarket Corp Common Stock,$398.29,4349880025,21415,Basic Industries,Major Chemicals
NEV,Nuveen Enhanced Municipal Value Fund Common Shares of Beneficial Interest,$16.31,406935609,223594,,
NEW,Puxin Limited American Depositary Shares each representing two Ordinary Shares,$5.82,507114933,661541,Consumer Services,Other Consumer Services
